step,severity,acc,msp_mean,entropy_mean,gradnorm_mean,egn_mean
0,0.0000,0.9453,0.81723,0.44499,44.63694,14.35170
1,0.0333,0.9531,0.81561,0.44925,47.46784,15.62596
2,0.0667,0.9414,0.81027,0.45839,48.20895,15.91797
3,0.1000,0.9453,0.80069,0.47082,49.24920,16.11659
4,0.1333,0.8828,0.78143,0.48899,50.36768,15.61780
5,0.1667,0.8125,0.76285,0.49974,51.91300,14.55174
6,0.2000,0.5547,0.75739,0.50182,55.12565,13.96379
7,0.2333,0.3789,0.79583,0.46716,60.86337,15.46083
8,0.2667,0.3320,0.82800,0.38745,68.62733,13.40762
9,0.3000,0.3320,0.88976,0.25581,80.07416,11.11403
10,0.3333,0.3320,0.96713,0.11360,94.45815,8.83043
11,0.3667,0.3320,0.99177,0.03954,104.08189,4.02558
12,0.4000,0.3320,0.99845,0.01002,113.06969,1.21821
13,0.4333,0.3320,0.99971,0.00232,121.94577,0.31926
14,0.4667,0.3320,0.99995,0.00051,130.52498,0.07839
15,0.5000,0.3320,0.99999,0.00011,139.32060,0.01841
16,0.5333,0.3320,1.00000,0.00002,149.02255,0.00389
17,0.5667,0.3320,1.00000,0.00000,158.05212,0.00085
18,0.6000,0.3320,1.00000,0.00000,167.90372,0.00016
19,0.6333,0.3320,1.00000,0.00000,177.54883,0.00003
20,0.6667,0.3320,1.00000,0.00000,187.09042,0.00001
21,0.7000,0.3320,1.00000,0.00000,197.19498,0.00000
22,0.7333,0.3320,1.00000,0.00000,206.40294,0.00000
23,0.7667,0.3320,1.00000,0.00000,216.34846,0.00000
24,0.8000,0.3320,1.00000,0.00000,225.58145,0.00000
25,0.8333,0.3320,1.00000,0.00000,235.19342,0.00000
26,0.8667,0.3320,1.00000,0.00000,244.66902,0.00000
27,0.9000,0.3320,1.00000,0.00000,253.75519,0.00000
28,0.9333,0.3320,1.00000,0.00000,262.93414,0.00000
29,0.9667,0.3320,1.00000,0.00000,271.66016,0.00000
30,1.0000,0.3320,1.00000,0.00000,280.74060,0.00000
