step,severity,acc,msp_mean,entropy_mean,gradnorm_mean,egn_mean
0,0.0000,0.9453,0.81723,0.44499,44.63694,14.35170
1,0.0333,0.8984,0.78727,0.50811,35.63360,14.65921
2,0.0667,0.8164,0.75697,0.55116,31.35053,13.65509
3,0.1000,0.8242,0.75917,0.55286,31.25568,14.04383
4,0.1333,0.8281,0.76140,0.54659,31.71139,13.85489
5,0.1667,0.7266,0.74151,0.58092,28.55071,13.31368
6,0.2000,0.7695,0.73936,0.58236,28.40046,13.11775
7,0.2333,0.6367,0.73128,0.59951,26.51984,12.74185
8,0.2667,0.6641,0.73165,0.60046,26.66699,12.87777
9,0.3000,0.6055,0.73017,0.60148,26.55139,12.70470
10,0.3333,0.5703,0.73213,0.60965,25.70612,12.87018
11,0.3667,0.5352,0.72229,0.61497,25.12141,12.18870
12,0.4000,0.5391,0.72723,0.61228,25.31274,12.53867
13,0.4333,0.4844,0.73158,0.61321,25.11679,12.66862
14,0.4667,0.4922,0.72331,0.61866,24.49400,12.12591
15,0.5000,0.4453,0.73292,0.61104,24.40599,12.30338
16,0.5333,0.4375,0.72402,0.61994,24.00560,11.88162
17,0.5667,0.4453,0.73755,0.60995,24.62871,12.65110
18,0.6000,0.4023,0.73013,0.61334,23.97264,11.90465
19,0.6333,0.3984,0.73545,0.61080,23.99593,12.14302
20,0.6667,0.4180,0.73086,0.60910,23.98698,11.73683
21,0.7000,0.3633,0.73448,0.60361,23.64522,11.46672
22,0.7333,0.3945,0.73165,0.60690,23.70937,11.49322
23,0.7667,0.3672,0.73590,0.60915,23.83947,11.95947
24,0.8000,0.3672,0.73743,0.59862,23.75798,11.45383
25,0.8333,0.3516,0.73785,0.60292,23.62127,11.63193
26,0.8667,0.3594,0.74850,0.58966,23.92666,11.80733
27,0.9000,0.3555,0.74493,0.59051,23.83578,11.58511
28,0.9333,0.3477,0.74356,0.59465,23.78228,11.72230
29,0.9667,0.3438,0.75178,0.58559,23.87782,11.77741
30,1.0000,0.3438,0.74183,0.58872,23.55316,11.18135
