step,severity,acc,msp_mean,entropy_mean,gradnorm_mean,egn_mean
0,0.0000,0.9453,0.81723,0.44499,44.63694,14.35170
1,0.0333,0.9453,0.81689,0.44541,44.57398,14.32381
2,0.0667,0.9414,0.81604,0.44661,44.45068,14.28035
3,0.1000,0.9375,0.81528,0.44809,44.33978,14.26556
4,0.1333,0.9336,0.81487,0.44894,44.29197,14.25988
5,0.1667,0.9414,0.81381,0.45097,44.20420,14.25973
6,0.2000,0.9375,0.81268,0.45340,44.11261,14.26450
7,0.2333,0.9375,0.81201,0.45477,44.06259,14.27141
8,0.2667,0.9336,0.81032,0.45796,43.97317,14.28697
9,0.3000,0.9336,0.80834,0.46179,43.85818,14.31107
10,0.3333,0.9336,0.80747,0.46391,43.79295,14.32513
11,0.3667,0.9297,0.80539,0.46849,43.65855,14.36114
12,0.4000,0.9297,0.80253,0.47366,43.51771,14.36668
13,0.4333,0.9297,0.80072,0.47650,43.43644,14.35045
14,0.4667,0.9258,0.79625,0.48259,43.25842,14.25945
15,0.5000,0.9219,0.79071,0.48912,43.07772,14.08741
16,0.5333,0.9219,0.78760,0.49251,42.98168,13.98816
17,0.5667,0.9102,0.78112,0.49939,42.79446,13.76062
18,0.6000,0.9023,0.77378,0.50649,42.58713,13.49667
19,0.6333,0.8828,0.77027,0.50998,42.48371,13.38341
20,0.6667,0.8750,0.76339,0.51697,42.27062,13.18126
21,0.7000,0.8555,0.75651,0.52391,42.07648,12.98961
22,0.7333,0.8438,0.75229,0.52852,41.86578,12.90146
23,0.7667,0.8164,0.74369,0.53782,41.42113,12.69727
24,0.8000,0.7969,0.73545,0.54668,41.01821,12.49156
25,0.8333,0.7734,0.73157,0.55093,40.83162,12.39642
26,0.8667,0.7383,0.72448,0.55894,40.50375,12.24063
27,0.9000,0.6953,0.71854,0.56643,40.17043,12.13013
28,0.9333,0.6523,0.71661,0.56987,40.01532,12.11852
29,0.9667,0.6172,0.71482,0.57630,39.71171,12.20977
30,1.0000,0.5859,0.71479,0.58197,39.43299,12.42332
