step,severity,acc,msp_mean,entropy_mean,gradnorm_mean,egn_mean
0,0.0000,0.9453,0.81723,0.44499,44.63694,14.35170
1,0.0333,0.9375,0.81870,0.44342,46.98338,15.07668
2,0.0667,0.9453,0.81920,0.44309,49.43988,16.02938
3,0.1000,0.9414,0.82054,0.44012,52.51637,17.17594
4,0.1333,0.9453,0.81725,0.44589,54.48992,18.48408
5,0.1667,0.9414,0.81139,0.45402,56.16162,19.45683
6,0.2000,0.9414,0.80071,0.46968,57.17453,20.15964
7,0.2333,0.9062,0.78287,0.49516,57.29246,19.85933
8,0.2667,0.7812,0.76320,0.52566,56.98289,18.78554
9,0.3000,0.5078,0.74792,0.53438,58.45894,15.83356
10,0.3333,0.3359,0.82471,0.39545,68.80769,14.18403
11,0.3667,0.3320,0.96568,0.13102,88.56952,10.67327
12,0.4000,0.3320,0.99570,0.02488,97.81517,2.67203
13,0.4333,0.3320,0.99941,0.00461,103.72168,0.56511
14,0.4667,0.3320,0.99992,0.00077,109.73757,0.10547
15,0.5000,0.3320,0.99999,0.00011,116.38278,0.01710
16,0.5333,0.3320,0.99999,0.00007,116.30913,0.01069
17,0.5667,0.3320,0.99999,0.00015,111.09649,0.02113
18,0.6000,0.3320,0.99996,0.00047,104.49728,0.06301
19,0.6333,0.3320,0.99994,0.00065,100.93486,0.08521
20,0.6667,0.3320,0.99991,0.00089,97.95323,0.11235
21,0.7000,0.3320,0.99986,0.00133,95.06377,0.16107
22,0.7333,0.3320,0.99977,0.00203,92.39468,0.23909
23,0.7667,0.3320,0.99962,0.00319,89.90941,0.36366
24,0.8000,0.3320,0.99943,0.00465,87.71661,0.51778
25,0.8333,0.3320,0.99922,0.00623,85.93477,0.68320
26,0.8667,0.3320,0.99899,0.00789,84.43817,0.85624
27,0.9000,0.3320,0.99876,0.00954,83.26236,1.02577
28,0.9333,0.3320,0.99856,0.01101,82.39989,1.17641
29,0.9667,0.3320,0.99838,0.01224,81.80068,1.30209
30,1.0000,0.3320,0.99827,0.01304,81.47181,1.38194
